tile_id,ndvi_mean,xmin,ymin,xmax,ymax
1.46888E+12,,617625,4563975,625305,4571655
1.66645E+12,0.38688907116968163,487065,4579335,494745,4587015
2.23338E+11,,617625,4533255,625305,4540935
6.09885E+11,0.009685984,525465,4694535,533145,4702215
6.87195E+11,,571545,4717575,579225,4725255
7.90274E+11,,425625,4725255,433305,4732935
9.36303E+11,0.27550418096307366,440985,4610055,448665,4617735
1.06515E+12,0.36402683039232575,517785,4540935,525465,4548615
1.26272E+12,0.40864618440867034,548505,4533255,556185,4540935
6.35655E+11,,632985,4504485,635115,4510215
7.81684E+11,0.009299372,510105,4640775,517785,4648455
1.63209E+11,0.382262892,464025,4579335,471705,4587015
2.40518E+11,0.3898536147945554,471705,4525575,479385,4533255
6.70015E+11,0.008381302,502425,4686855,510105,4694535
6.87195E+11,0.7226433684586129,456345,4610055,464025,4617735
9.70663E+11,,602265,4732935,609945,4740615
3.09238E+11,0.3518517787122307,609945,4686855,617625,4694535
5.84116E+11,0.008720469,502425,4679175,510105,4686855
6.35655E+11,0.010775840155587642,533145,4671495,540825,4679175
1.03079E+12,0.40336409576527826,494745,4594695,502425,4602375
1.22836E+12,0.39442022641655206,579225,4640775,586905,4648455
1.2799E+12,0.3527019763394537,617625,4663815,625305,4671495
1.64927E+12,0.3299390547472028,563865,4663815,571545,4671495
1.14246E+12,,433305,4533255,440985,4540935
1.46029E+11,0.008818371,487065,4648455,494745,4656135
4.20907E+11,0.37127268074939224,517785,4579335,525465,4587015
9.19123E+11,,609945,4702215,617625,4709895
1.48606E+12,,632985,4633095,635115,4640775
1.68363E+12,0.009254049,540825,4679175,548505,4686855
5.15396E+11,0.3578485846015039,448665,4587015,456345,4594695
8.24634E+11,0.2539046411084796,417945,4633095,425625,4640775
8.24634E+11,,609945,4563975,617625,4571655
9.79253E+11,0.38687731069781506,571545,4594695,579225,4602375
4.72446E+11,,517785,4732935,525465,4740615
1.08233E+12,,517785,4725255,525465,4732935
1.32285E+12,,632985,4548615,635115,4556295
4.03727E+11,,609945,4709895,617625,4717575
5.75526E+11,,625305,4732935,632985,4740615
7.04375E+11,,402585,4709895,410265,4717575
1.49465E+12,,617625,4540935,625305,4548615
77309411331,,487065,4510215,494745,4517895
1.54619E+11,0.3481536615360612,425625,4563975,433305,4571655
4.63856E+11,0.3611813188316113,456345,4540935,464025,4548615
8.50404E+11,0.36696189421107545,487065,4587015,494745,4594695
94489280516,0.4489856363168156,487065,4525575,494745,4533255
1.20259E+11,,402585,4686855,410265,4694535
1.14246E+12,0.33100894251018514,602265,4579335,609945,4587015
1.41734E+12,,632985,4617735,635115,4625415
8589934593,0.006866745,464025,4663815,471705,4671495
34359738372,0.3135816241812585,448665,4594695,456345,4602375
1.05656E+12,0.36587531845203924,571545,4504485,579225,4510215
1.47747E+12,0.3845107146260489,602265,4617735,609945,4625415
9.53483E+11,,410265,4686855,417945,4694535
9.70663E+11,0.1266986395933877,479385,4610055,487065,4617735
1.16823E+12,0.307592195,609945,4671495,617625,4679175
1.18541E+12,,632985,4640775,635115,4648455
1.2799E+12,0.385963593,602265,4625415,609945,4633095
1.30567E+12,0.33283207560299166,448665,4571655,456345,4579335
1.97568E+11,,617625,4602375,625305,4610055
7.12965E+11,,417945,4656135,425625,4663815
1.13387E+12,0.3954528855417856,579225,4548615,586905,4556295
1.4517E+12,0.008035934,487065,4671495,494745,4679175
1.52901E+12,0.00818953,464025,4633095,471705,4640775
1.64068E+12,,417945,4504485,425625,4510215
9.53483E+11,,417945,4671495,425625,4679175
1.09951E+12,0.34569475063990185,425625,4587015,433305,4594695
1.21977E+12,,417945,4679175,425625,4686855
1.65786E+12,,517785,4504485,525465,4510215
1.68363E+12,0.3787593045840641,502425,4594695,510105,4602375
1.70081E+12,,433305,4525575,440985,4533255
34359738370,0.39588709570722463,456345,4571655,464025,4579335
5.15396E+11,0.3906166188205077,525465,4563975,533145,4571655
