OBJECTID,pointid,grid_code,X,Y
327,980790,0.386138588,-73.88956388,40.90858569
328,980791,0.357808173,-73.88902116,40.90858569
329,980792,0.429925561,-73.88847843,40.90858569
330,980793,0.265768945,-73.88793571,40.90858569
331,980794,0.35888499,-73.88739298,40.90858569
332,980852,0.544937491,-73.85428679,40.90858569
333,980853,0.322553188,-73.85374407,40.90858569
334,980854,0.01420116,-73.85320135,40.90858569
335,980855,-0.007784829,-73.85265862,40.90858569
336,982532,0.079734206,-73.9123583,40.90804296
337,982533,0.915966392,-73.91181558,40.90804296
338,982534,0.710545421,-73.91127286,40.90804296
339,982535,0.206990719,-73.91073013,40.90804296
340,982536,0.277378052,-73.91018741,40.90804296
341,982537,0.673575163,-73.90964468,40.90804296
342,982538,0.268244594,-73.90910196,40.90804296
343,982539,0.198119521,-73.90855923,40.90804296
344,982540,0.513513446,-73.90801651,40.90804296
345,982541,0.450777173,-73.90747378,40.90804296
346,982542,0.440177232,-73.90693106,40.90804296
347,982543,0.200000018,-73.90638834,40.90804296
348,982544,-0.031130051,-73.90530289,40.90804296
349,982545,0.305762738,-73.90476016,40.90804296
350,982546,0.131284937,-73.90421744,40.90804296
351,982547,0.095901333,-73.90367471,40.90804296
352,982548,0.082559355,-73.90313199,40.90804296
353,982549,0.063665576,-73.90258927,40.90804296
354,982550,0.251861036,-73.90204654,40.90804296
355,982551,0.104311541,-73.90150382,40.90804296
356,982552,0.162108094,-73.90096109,40.90804296
357,982553,0.18815662,-73.90041837,40.90804296
358,982554,0.18837066,-73.89987564,40.90804296
359,982555,0.189287886,-73.89933292,40.90804296
360,982556,0.126459152,-73.89879019,40.90804296
361,982557,0.179846033,-73.89824747,40.90804296
362,982558,0.20686537,-73.89770475,40.90804296
363,982559,0.272218317,-73.89716202,40.90804296
364,982560,0.028737722,-73.8966193,40.90804296
365,982561,0.57357353,-73.89607657,40.90804296
366,982562,0.479853511,-73.89553385,40.90804296
367,982563,0.499593824,-73.89499112,40.90804296
368,982564,0.327564895,-73.8944484,40.90804296
369,982565,0.202231511,-73.89390567,40.90804296
370,982566,0.51509434,-73.89336295,40.90804296
371,982567,0.363443911,-73.89282023,40.90804296
372,982568,0.394968599,-73.8922775,40.90804296
373,982569,0.275245756,-73.89173478,40.90804296
374,982570,0.350037932,-73.89119205,40.90804296
375,982571,0.292332232,-73.89064933,40.90804296
376,982572,0.308212578,-73.8901066,40.90804296
377,982573,0.27878347,-73.88956388,40.90804296
378,982574,0.427777767,-73.88902116,40.90804296
379,982575,0.316426516,-73.88847843,40.90804296
380,982576,0.256821811,-73.88793571,40.90804296
381,982577,0.314571619,-73.88739298,40.90804296
382,982578,0.369620264,-73.88685026,40.90804296
383,982579,0.286844015,-73.88630753,40.90804296
384,982580,0.136969715,-73.88576481,40.90804296
385,982581,0.323323339,-73.88522208,40.90804296
386,982637,0.573440611,-73.85428679,40.90804296
387,982638,0.11293941,-73.85374407,40.90804296
388,982639,-0.020860508,-73.85320135,40.90804296
389,984310,0.275800705,-73.9123583,40.90750024
390,984311,0.790392995,-73.91181558,40.90750024
391,984312,0.442735016,-73.91127286,40.90750024
392,984313,0.259679914,-73.91073013,40.90750024
393,984314,0.383897305,-73.91018741,40.90750024
394,984315,0.428169012,-73.90964468,40.90750024
395,984316,0.387720793,-73.90910196,40.90750024
396,984317,0.598377287,-73.90855923,40.90750024
397,984318,0.410549223,-73.90801651,40.90750024
398,984319,0.629530191,-73.90747378,40.90750024
399,984320,0.0803371,-73.90693106,40.90750024
400,984321,0.253784478,-73.90584561,40.90750024
401,984322,0.173662543,-73.90530289,40.90750024
402,984323,0.530821919,-73.90476016,40.90750024
403,984324,-0.057448208,-73.90421744,40.90750024
404,984325,0.105499424,-73.90367471,40.90750024
405,984326,0.311827958,-73.90313199,40.90750024
406,984327,0.187692344,-73.90258927,40.90750024
407,984328,0.13476561,-73.90204654,40.90750024
408,984329,0.340845078,-73.90150382,40.90750024
409,984330,0.126946121,-73.90096109,40.90750024
410,984331,0.188995212,-73.90041837,40.90750024
411,984332,0.155555516,-73.89987564,40.90750024
412,984333,0.167612165,-73.89933292,40.90750024
413,984334,0.423622042,-73.89879019,40.90750024
414,984335,0.37588653,-73.89824747,40.90750024
415,984336,0.12081784,-73.89770475,40.90750024
416,984337,0.21729961,-73.89716202,40.90750024
417,984338,0.010666682,-73.8966193,40.90750024
418,984339,0.358927488,-73.89607657,40.90750024
419,984340,0.155131266,-73.89553385,40.90750024
420,984341,0.504999995,-73.89499112,40.90750024
421,984342,0.308764964,-73.8944484,40.90750024
422,984343,0.438620716,-73.89390567,40.90750024
423,984344,0.409172148,-73.89336295,40.90750024
424,984345,0.389283448,-73.89282023,40.90750024
425,984346,0.380566806,-73.8922775,40.90750024
426,984347,0.406574398,-73.89173478,40.90750024
427,984348,0.339694679,-73.89119205,40.90750024
428,984349,0.276683956,-73.89064933,40.90750024
429,984350,0.30884555,-73.8901066,40.90750024
430,984351,0.283783823,-73.88956388,40.90750024
431,984352,0.420667231,-73.88902116,40.90750024
432,984353,0.399821907,-73.88847843,40.90750024
433,984354,0.372131139,-73.88793571,40.90750024
434,984355,0.357452989,-73.88739298,40.90750024
435,984356,0.365175337,-73.88685026,40.90750024
436,984357,0.308086008,-73.88630753,40.90750024
437,984358,0.289443791,-73.88576481,40.90750024
438,984359,0.302904546,-73.88522208,40.90750024
439,984360,0.35527429,-73.88467936,40.90750024
440,984361,0.317471117,-73.88413664,40.90750024
441,984362,1,-73.88359391,40.90750024
442,984417,0.045905262,-73.85374407,40.90750024
443,986093,-0.008327053,-73.91290103,40.90695751
444,986094,0.489813983,-73.9123583,40.90695751
445,986095,0.634269297,-73.91181558,40.90695751
446,986096,0.663467705,-73.91127286,40.90695751
447,986097,0.394683063,-73.91073013,40.90695751
448,986098,0.3071253,-73.91018741,40.90695751
449,986099,0.395085007,-73.90964468,40.90695751
450,986100,0.229478717,-73.90910196,40.90695751
451,986101,0.244827583,-73.90855923,40.90695751
452,986102,0.053571388,-73.90801651,40.90695751
453,986103,0.341716796,-73.90747378,40.90695751
454,986104,0.011153358,-73.90693106,40.90695751
455,986105,-0.033850491,-73.90638834,40.90695751
456,986106,0.397727251,-73.90584561,40.90695751
457,986107,0.381385595,-73.90530289,40.90695751
458,986108,0.021732481,-73.90476016,40.90695751
459,986109,-0.061119881,-73.90421744,40.90695751
460,986110,0.060229875,-73.90367471,40.90695751
461,986111,0.082568809,-73.90313199,40.90695751
462,986112,0.204081655,-73.90258927,40.90695751
463,986113,0.057324812,-73.90204654,40.90695751
464,986114,0.17757009,-73.90150382,40.90695751
465,986115,0.132564843,-73.90096109,40.90695751
466,986116,0.297440439,-73.90041837,40.90695751
467,986117,0.133559301,-73.89987564,40.90695751
468,986118,0.113402061,-73.89933292,40.90695751
469,986119,0.351351351,-73.89879019,40.90695751
470,986120,0.323987544,-73.89824747,40.90695751
471,986121,0.071123742,-73.89770475,40.90695751
472,986122,0.185619935,-73.89716202,40.90695751
473,986123,0.077544391,-73.8966193,40.90695751
474,986124,0.234493211,-73.89607657,40.90695751
475,986125,0.629719794,-73.89553385,40.90695751
476,986126,0.326530606,-73.89499112,40.90695751
477,986127,0.510118663,-73.8944484,40.90695751
478,986128,0.363431126,-73.89390567,40.90695751
479,986129,0.420996815,-73.89336295,40.90695751
480,986130,0.355168909,-73.89282023,40.90695751
481,986131,0.416606486,-73.8922775,40.90695751
482,986132,0.273277819,-73.89173478,40.90695751
483,986133,0.316251844,-73.89119205,40.90695751
484,986134,0.318228632,-73.89064933,40.90695751
485,986135,0.383587778,-73.8901066,40.90695751
486,986136,0.345132738,-73.88956388,40.90695751
487,986137,0.469310671,-73.88902116,40.90695751
488,986138,0.353398085,-73.88847843,40.90695751
489,986139,0.378413528,-73.88793571,40.90695751
490,986140,0.365107924,-73.88739298,40.90695751
491,986141,0.351311922,-73.88685026,40.90695751
492,986142,0.278941572,-73.88630753,40.90695751
493,986143,0.374358952,-73.88576481,40.90695751
494,986144,0.286898851,-73.88522208,40.90695751
495,986145,0.242016792,-73.88467936,40.90695751
496,986146,0.483660132,-73.88413664,40.90695751
497,986147,0.287488043,-73.88359391,40.90695751
498,986148,0.320415199,-73.88305119,40.90695751
499,986149,0.305485666,-73.88250846,40.90695751
500,986150,0.356499344,-73.88196574,40.90695751
501,986201,0.055555575,-73.85428679,40.90695751
502,986202,0.0009416,-73.85374407,40.90695751
503,986203,-0.015595774,-73.85320135,40.90695751
504,986204,0.065429665,-73.85265862,40.90695751
505,986205,-0.023872687,-73.8521159,40.90695751
506,986208,0.120915011,-73.85048772,40.90695751
507,986209,0.093575381,-73.849945,40.90695751
508,986210,0.049792524,-73.84940227,40.90695751
509,987874,0.063982755,-73.91290103,40.90641479
510,987875,0.543644726,-73.9123583,40.90641479
511,987876,1,-73.91181558,40.90641479
512,987877,0.225048944,-73.91127286,40.90641479
